  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/django/views/generic/base.py", line 70, in view
    return self.dispatch(request, *args, **kwargs)
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/rest_framework/views.py", line 509, in dispatch
    response = self.handle_exception(exc)
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/rest_framework/views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/rest_framework/views.py", line 480, in raise_uncaught_exception
    raise exc
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/rest_framework/views.py", line 506, in dispatch
    response = handler(request, *args, **kwargs)
  File "/Users/babyyy/工作/JD/CMDB平台/ops_api/apps/tree/views.py", line 122, in get
    contact_list = list(models.DomainModelDetail.objects.filter(id__in=resource_id_list, model=model_id).values())
AttributeError: module 'apps.tree.models' has no attribute 'DomainModelDetail'
INFO 2024-09-04 22:01:24,773 basehttp:161 "GET /api/v1/tree/get-reloated-resource/1?page=1&model=1 HTTP/1.1" 200 71
INFO 2024-09-04 22:01:24,777 basehttp:161 "GET /api/v1/cmdb/model/1 HTTP/1.1" 200 635
ERROR 2024-09-04 22:01:24,778 basehttp:161 "GET /api/v1/tree/get-reloated-resource/1?model=99999&page=1 HTTP/1.1" 500 145
INFO 2024-09-04 22:01:29,057 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 139
INFO 2024-09-04 22:01:29,092 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 3220
INFO 2024-09-04 22:01:29,105 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 22:01:29,190 basehttp:161 "GET /api/v1/tree/ HTTP/1.1" 200 248
INFO 2024-09-04 22:01:30,501 basehttp:161 "GET /api/v1/cmdb/model-group HTTP/1.1" 200 231
ERROR 2024-09-04 22:01:30,536 log:224 Internal Server Error: /api/v1/tree/get-reloated-resource/1
Traceback (most recent call last):
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/django/core/handlers/exception.py", line 47, in inner
    response = get_response(request)
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/django/core/handlers/base.py", line 181, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/django/views/decorators/csrf.py", line 54, in wrapped_view
    return view_func(*args, **kwargs)
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/django/views/generic/base.py", line 70, in view
    return self.dispatch(request, *args, **kwargs)
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/rest_framework/views.py", line 509, in dispatch
    response = self.handle_exception(exc)
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/rest_framework/views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/rest_framework/views.py", line 480, in raise_uncaught_exception
    raise exc
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/rest_framework/views.py", line 506, in dispatch
    response = handler(request, *args, **kwargs)
  File "/Users/babyyy/工作/JD/CMDB平台/ops_api/apps/tree/views.py", line 122, in get
    contact_list = list(models.DomainModelDetail.objects.filter(id__in=resource_id_list, model=model_id).values())
AttributeError: module 'apps.tree.models' has no attribute 'DomainModelDetail'
INFO 2024-09-04 22:01:30,540 basehttp:161 "GET /api/v1/tree/get-reloated-resource/1?page=1&model=1 HTTP/1.1" 200 71
ERROR 2024-09-04 22:01:30,543 basehttp:161 "GET /api/v1/tree/get-reloated-resource/1?model=99999&page=1 HTTP/1.1" 500 145
INFO 2024-09-04 22:01:30,550 basehttp:161 "GET /api/v1/cmdb/model/1 HTTP/1.1" 200 635
INFO 2024-09-04 22:01:56,902 basehttp:161 "GET /api/v1/cmdb/resource?page=1&model=1 HTTP/1.1" 200 130
INFO 2024-09-04 22:01:59,132 basehttp:161 "POST /api/v1/tree/related HTTP/1.1" 200 187
